USBL,SIGNED,40-Man,POS,NAME,B/T,DOB,STATUS,QO,BASE,FG WAR 24,FG WAR 25,GS,IP,AB,USBL,PTS,MLBAM_ID,DECISION,New 40,COST,,,,BA,PTS,MLB,PTS,P1500,PTS,FG,PTS
BRB,D2020654KC124,,1,"SELBY, COLIN",R,10/24/97,O2,," $740,000 ",0.00,0.10,0,15,,,,681882,KEEP,," $740,000 ",,0.00,1,0.10,,,,,,,
FA,D2018464GLL16,,0,"SELLERS, DONNIE ",R,07/26/95,MR5,,,,,,,,,,656947,,,,,0.00,0,0.00,,,,,,,
SL1,D2022096SL104,,0,"SELVIDGE, BROCK",L,08/28/02,M5,,,,,,,,NYA 14,15.54,691795,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
FA,D2012299MUN10,,4,"SEMIEN, MARCUS",R,09/17/90,UFA,2022," $740,000 ",4.20,2.10,,,494,,,543760,,,,,519.00,4,2.10,,,,,,,
PEC,D2021126PEC05,,0,"SEMINARIS, ADAM",L,10/19/98,MR5,,,,,,,,,,694372,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
FA,D2019617HOG21,,3,"SEMINATI, LEONARDO",,01/02/99,MR5,,,,,,,,,,682504,,,,,0.00,3,0.00,,,,,,,
FA,D2016692KC126,,1,"SEMPLE, SHAWN ",R,10/09/95,M5,,,,,,,,,,676111,,,,,0.00,1,0.00,,,,,,,
BBS,D2023707BGS26,,0,"SENA, REIDIS",,04/07/01,M4,,,,,,,,,,684128,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
LVA,FA2024SAG,40,0,"SENGA, KODAI",R,01/30/93,FA26,," $44,817,231 ",0.10,1.40,23,119,,,,673540,KEEP,40," $44,817,231 ",,0.00,0,1.40,,,,,,,
FA,D2019580WBR20,,2,"SENGER, HAYDEN",,04/03/97,MR5,,,,0.00,,,76,,,663584,,,,,80.00,2,0.00,,,,,,,
FA,D2018527PEC18,,3,"SENSLEY, STEVEN ",L,09/06/95,MR5,,,,,,,,,,642062,,,,,0.00,3,0.00,,,,,,,
FA,D2013372MER12,,0,"SENZATELA, ANTONIO",R,01/21/95,UFA,," $740,000 ",-0.10,-0.10,24,137,,,,622608,,,,,0.00,0,-0.10,,,,,,,
BAM,D2017001PBW01,RELEASE,5,"SENZEL, NICK",R,06/29/95,A6,," $740,000 ",-0.50,,,,,,,669222,RELEASE,, $-   ,,0.00,5,0.00,,,,,,,
FA,D2017316BOB11,,4,"SEPULVEDA, CARLOS",L,08/27/96,MR5,,,,,,,,,,661148,,,,,0.00,4,0.00,,,,,,,
SAG,D2023748CS331,,0,"SEQUERA, LEONEL",,08/06/05,M4,,,,,,,,,,800320,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
HOG,D2022087HOG03,RELEASE,6,"SEQUERA, MANUEL",R,09/28/02,M5,,,,,,,,,,691456,RELEASE,, $-   ,,0.00,6,0.00,,,,,,,
FA,D2013612LEL20,,6,"SERMO, JOSE",B,03/22/91,MR5,,,,,,,,,,572127,,,,,0.00,6,0.00,,,,,,,
NEE,D2023383NEE13,,4,"SERNA, JARED",,06/01/02,M4,,,,,,,,MMN 14,16.27,691858,KEEP,, $-   ,,0.00,4,0.00,,,,,,,
ALC,D2023058ALC02,,0,"SERNA, LUIS",,07/20/04,M4,,,,,,,,,,702436,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
TUT,D2025186TUT07,,8,"SERRANO III, ELI",L/L,05/01/03,M2,,,,,,,,NYN 19,12.86,702501,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
HOG,D2022638HOG22,RELEASE,5,"SERRANO, JOSE",R,10/04/03,M5,,,,,,,,,,699112,RELEASE,, $-   ,,0.00,5,0.00,,,,,,,
KEC,D2023307KEC11,,6,"SERRETTI, DANNY",B,05/07/00,M4,,,,,,,,,,681400,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
FA,D2017288WBR10,,2,"SERVEN, BRIAN",R,05/05/95,UFA,," $740,000 ",-0.20,,,,,,,661531,,,,,0.00,2,0.00,,,,,,,
INC,D2021054INC02,,6,"SERVIDEO, ANTHONY",L,03/11/99,MR5,,,,,,,,,,676545,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
SH1,D2024239BAB08,,0,"SERWINOWSKI, ADAM",L,06/07/04,M3,,,,,,,,CIN 11,20.29,703445,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
FA,D2022569HIB19,,0,"SEVERINO, ANDERSON",L,09/17/94,UFA,," $740,000 ",,,,,,,,644429,,,,,0.00,0,0.00,,,,,,,
NYG,D2023357BGS12,,6,"SEVERINO, JHONNY",,11/08/04,M4,,,,,,,,PIN 11,19.43,703177,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
FA,D2013714NEE28,,0,"SEVERINO, LUIS",R,02/20/94,UFA,," $740,000 ",2.10,2.50,30,171,,,,622663,,,,,0.00,0,2.50,,,,,,,
FA,D2014183BRB07,,2,"SEVERINO, PEDRO",R,07/20/93,UFA,," $740,000 ",,,,,,,,600474,,,,,0.00,2,0.00,,,,,,,
NYG,D2018059HOG02,RELEASE,4,"SEVERINO, YUNIOR ",B,10/03/99,MR5,," $120,600 ",,,,,,,,670870,RELEASE,, $-   ,,0.00,4,0.00,,,,,,,
FA,D2013618AUD20,,1,"SEWALD, PAUL",R,05/26/90,UFA,," $740,000 ",0.30,0.00,0,21,,,,623149,,,,,0.00,1,0.00,,,,,,,
SPI,D2022477SPI16,,3,"SEYMOUR, BOBBY",L,10/07/98,M5,,,,-0.30,,,82,,,676044,KEEP,, $-   ,,86.00,3,-0.30,,,,,,,
HAH,D2022350SHC12,40,1,"SEYMOUR, CARSON",R,12/16/98,O,," $740,000 ",,-0.60,3,38,,SFN 23,6.63,693313,KEEP,40," $740,000 ",,0.00,1,-0.60,,,,,,,
SPI,D2021052SPI02,40,1,"SEYMOUR, IAN",L,12/13/98,O,," $740,000 ",,1.10,5,60,,TBA 17,16.40,693855,KEEP,40," $740,000 ",,0.00,1,1.10,,,,,,,
GLL,D2024501GLL17,,0,"SHA, TZU-CHEN",R,10/15/03,M3,,,,,,,,,,809223,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
FA,D2020636KC123,,6,"SHACKELFORD, AARON",L,10/16/96,MR5,,,,,,,,,,687823,,,,,0.00,6,0.00,,,,,,,
BRB,D2024490BRB17,,8,"SHADE, COLBY",R,08/18/01,M3,,,,,,,,,,694974,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
FA,D2015558WBR19,,1,"SHAFER, JUSTIN",,09/18/92,UFA,," $740,000 ",,,,,,,,596101,,,,,0.00,1,0.00,,,,,,,
BRM,D2024382BRM13,,0,"SHARKEY, TEDDY",R,08/01/01,M3,,,,,,,,,,814532,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
FA,D2016614INC21,,1,"SHARP, STERLING",R,05/30/95,MR5,,,,,,,,,,643532,,,,,0.00,1,0.00,,,,,,,
HIB,D2019178ALE06,,5,"SHARPE, DAVIS",,01/30/00,MR5,,,,,,,,,,681571,KEEP,, $-   ,,0.00,5,0.00,,,,,,,
CHH,D2019308JAS11,RELEASE,1,"SHARTS, OWEN",R,11/23/99,MR5,,,,,,,,,,680714,RELEASE,, $-   ,,0.00,1,0.00,,,,,,,
FA,D2020781LVA39,,5,"SHAVER, COLTON",,09/18/95,MR5,,,,,,,,,,656953,,,,,0.00,5,0.00,,,,,,,
FA,D2009CWS03,,1,"SHAW, BRYAN",R,11/08/87,UFA,," $740,000 ",-0.10,,,,,,,543766,,,,,0.00,1,0.00,,,,,,,
FA,D2016024LV501,,8,"SHAW, CHRIS",L,10/20/93,UFA,," $740,000 ",,,,,,,,622046,,,,,0.00,8,0.00,,,,,,,
ALC,D2025682ALC25,,0,"SHAW, EVAN",L/L,02/02/01,M2,,,,,,,,,,822627,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
FA,D2016833RCR41,,0,"SHAW, JOE",R,12/20/93,MR5,,,,,,,,,,621256,,,,,0.00,0,0.00,,,,,,,
SL1,D2024008SLB01,,6,"SHAW, MATT",R,11/06/01,O,," $740,000 ",,1.40,,,413,CHN 01 [26],46.50,807713,KEEP,," $740,000 ",,434.00,6,1.40,,,,,,,
ALC,D2024300ALC10,,4,"SHAW, SAM",L,02/26/05,M3,,,,,,,,,,802511,KEEP,, $-   ,,0.00,4,0.00,,,,,,,
MOE,D2022466SSC16,,0,"SHAWVER, EVAN",L,09/11/99,M5,,,,,,,,,,686900,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
BGK,D2022161BRM06,40,0,"SHEEHAN, EMMET",R,11/15/99,O2,," $740,000 ",,2.10,13,77,,,,686218,KEEP,40," $740,000 ",,0.00,0,2.10,,,,,,,
BRB,D2018068BRB03,40,8,"SHEETS, GAVIN ",L,04/23/96,A4,," $740,000 ",-0.90,1.30,,,517,,,657757,KEEP,40," $740,000 ",,543.00,8,1.30,,,,,,,
FA,D2015023CS101,,0,"SHEFFIELD, JUSTUS",L,05/13/96,UFA,," $740,000 ",,,,,,,,656954,,,,,0.00,0,0.00,,,,,,,
MUN,D2025263MUN09,,6,"SHELTON, COLBY",L/R,12/06/02,M2,,,,,,,,,,701333,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
SH1,D2024772BAB28,,3,"SHELTON, EASTON",R,09/17/05,M3,,,,,,,,,,806221,KEEP,, $-   ,,0.00,3,0.00,,,,,,,
SL1,D2020143BAM05,40,3,"SHENTON, AUSTIN",L,01/22/98,O1,," $740,000 ",0.30,,,,,,,668853,KEEP,40," $740,000 ",,0.00,3,0.00,,,,,,,
PEC,D2025732PEC30,,0,"SHEPARDSON, BLAKE",R/R,07/06/03,M2,,,,,,,,,,824245,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
TUT,D2025156TUT06,,0,"SHEPARDSON, GRANT",R/R,10/04/05,M2,,,,,,,,MMN 27,3.83,824415,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
FA,D2016433INC15,,0,"SHEPHERD, CHANDLER",R,08/25/92,UFA,," $740,000 ",,,,,,,,605469,,,,,0.00,0,0.00,,,,,,,
FA,FA2018PSD,,1,"SHERRIFF, RYAN",L,05/25/90,UFA,," $740,000 ",,,,,,,,595411,,,,,0.00,1,0.00,,,,,,,
BAM,D2020017NEE01,,6,"SHEWMAKE, BRADEN",L,11/19/97,MR5,,,-0.70,,,,,,,669699,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
NYG,D2025548NYG19,,0,"SHIELDS, BEN",R/L,01/23/99,M2,,,,,,,,,,815456,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
HIB,D2025045HIB02,,0,"SHIELDS, DAVID",B/L,09/09/06,M2,,,,,,,,KCA 05,23.03,815789,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
FA,D2022740LVA32,,0,"SHILLING, LUKE",R,10/06/03,M3,,,,,,,,,,663443,,,,,0.00,0,0.00,,,,,,,
TUT,D2024095NYG04,,0,"SHIM, JUN-SEOK",R,04/09/04,M3,,,,,,,,,,807149,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
FA,D2014008VBV01,,1,"SHIPLEY, BRADEN",R,02/22/92,UFA,," $740,000 ",,,,,,,,640463,,,,,0.00,1,0.00,,,,,,,
FM2,D2024178FM206,,2,"SHLIGER, LUKE",L,09/25/01,M3,,,,,,,,,,807740,KEEP,, $-   ,,0.00,2,0.00,,,,,,,
LVA,D2022269LVA09,RELEASE,0,"SHOEMAKER, ADAM",L,08/24/02,M5,,,,,,,,,,692248,RELEASE,, $-   ,,0.00,0,0.00,,,,,,,
SPI,D2025484SPI17,,2,"SHOJINAGA, KODEY",R/R,02/22/03,M2,,,,,,,,,,809975,KEEP,, $-   ,,0.00,2,0.00,,,,,,,
FA,D2014326ALE11,,0,"SHORE, LOGAN",R,12/28/94,MR5,,,,,,,,,,624519,,,,,0.00,0,0.00,,,,,,,
FA,D2020265BRM09,,1,"SHORT, AVERY",L,03/14/01,M5,,,,,,,,,,683008,,,,,0.00,1,0.00,,,,,,,
FA,D2017543MER19,,0,"SHORT, WYATT",L,10/14/94,MR5,,,,,,,,,,670151,,,,,0.00,0,0.00,,,,,,,
CHH,D2017434KC115,RELEASE,5,"SHORT, ZACK",R,05/29/95,A4,," $740,000 ",-0.40,0.00,,,53,,,670097,RELEASE,, $-   ,,56.00,5,0.00,,,,,,,
FA,D2019273KC110,,0,"SHORTRIDGE, AARON",R,05/29/97,MR5,,,,,,,,,,663336,,,,,0.00,0,0.00,,,,,,,
MUN,D2023429MUN15,,0,"SHOWALTER, ZACK",R,01/23/04,M4,,,,,,,,SLN 19,11.31,701374,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
FA,D2011BRS17,,1,"SHREVE, CHASEN",L,07/12/90,UFA,," $740,000 ",0.00,,,,,,,592741,,,,,0.00,1,0.00,,,,,,,
BRM,D2023476BRM16,RELEASE,6,"SHUFFIELD, DALTON",R,03/31/99,M4,,,,,,,,,,684922,RELEASE,, $-   ,,0.00,6,0.00,,,,,,,
FM2,D2019261FM209,40,1,"SHUGART, CHASE",R,10/24/96,O,," $740,000 ",0.10,-0.10,0,47,,,,663767,KEEP,40," $740,000 ",,0.00,1,-0.10,,,,,,,
FA,D2020572MOR20,,0,"SHUMAN, SETH",,12/01/97,MR5,,,,,,,,,,670234,,,,,0.00,0,0.00,,,,,,,
FA,D2016111BHB04,,6,"SHUMPERT, NICHOLAS",R,11/11/96,MR5,,,,,,,,,,663744,,,,,0.00,6,0.00,,,,,,,
HIB,D2021031JAS1S,WAIVE,0,"SHUSTER, JARED",L,08/03/98,O2,," $740,000 ",0.20,0.20,2,16,,,,694363,KEEP,WAIVE," $740,000 ",,0.00,0,0.20,,,,,,,
OSC,D2019071BRB03,WAIVE,8,"SIANI, MIKE",L,07/16/99,O2,," $740,000 ",1.10,-0.10,,,18,,,672279,KEEP,WAIVE," $740,000 ",,19.00,8,-0.10,,,,,,,
ALC,D2020043ALC02,40,8,"SIANI, SAMMY",L,12/14/00,MR5,," $120,600 ",,,,,,,,686445,KEEP,40," $120,600 ",,0.00,8,0.00,,,,,,,
FA,"D2020364JAS13
D2023763CS334",,0,"SIERRA, DIOMEDE",L,09/11/01,M5,,,,,,,,,,682660,,,,,0.00,0,0.00,,,,,,,
FA,D2014706BAB60,,8,"SIERRA, MAGNEURIS",L,04/07/96,UFA,," $740,000 ",,,,,,,,642423,,,,,0.00,8,0.00,,,,,,,
FA,D2017192SPI07,,0,"SIERRA, YAISEL",R,06/05/91,M4,,,,,,,,,,666888,,,,,0.00,0,0.00,,,,,,,
SL1,D2019332SL112,,1,"SIGHTLER, JOSIAH",L,10/19/99,MR5,,,,,,,,,,680906,KEEP,, $-   ,,0.00,1,0.00,,,,,,,
FA,D2022459KC116,,8,"SIKES, PHILLIP",R,04/27/99,M4,,,,,,,,,,689651,,,,,0.00,8,0.00,,,,,,,
MER,D2020051MER02,RELEASE,0,"SIKKEMA, T.J.",L,07/25/98,MR5,,,,,,,,,,674674,RELEASE,, $-   ,,0.00,0,0.00,,,,,,,
MER,D2022168MER06,40,1,"SILSETH, CHASE",R,05/18/00,O3,," $740,000 ",-0.10,0.10,0,12,,,,681217,KEEP,40," $740,000 ",,0.00,1,0.10,,,,,,,
SL1,D2024687SL124,,2,"SILVA, CARLOS",R,03/01/06,M3,,,,,,,,,,806991,KEEP,, $-   ,,0.00,2,0.00,,,,,,,
SL1,D2022154SL106,,0,"SILVA, ERIC",R,10/03/02,M5,,,,,,,,,,696150,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
FA,D2021220NEE08,,1,"SILVEN, YOELVIN",R,06/26/99,M5,,,,,,,,,,681185,,,,,0.00,1,0.00,,,,,,,
KC1,D2022626KC122,,0,"SILVERA, ANDRES",R,09/20/03,M5,,,,,,,,,,700353,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
FA,D2015256INC09,,0,"SILVESTRE, HECTOR",,12/14/92,MR5,,,,,,,,,,600470,,,,,0.00,0,0.00,,,,,,,
MOE,D2024251MOE09,,5,"SIM, KEVIN",R,02/07/02,M3,,,,,,,,,,691726,KEEP,, $-   ,,0.00,5,0.00,,,,,,,
FA,D2022489KC117,,4,"SIMAS, KARSON",R,06/02/01,M4,,,,,,,,,,689302,,,,,0.00,4,0.00,,,,,,,
FA,D2023183CS307,,0,"SIMAS, KOHL",,12/22/99,M3,,,,,,,,,,702030,,,,,0.00,0,0.00,,,,,,,
FA,D2019270HOG09,,4,"SIMMONS, KENDALL",R,04/11/00,MR5,,,,,,,,,,669227,,,,,0.00,4,0.00,,,,,,,
FA,D2023679CS325,,1,"SIMON, JOHAN",,07/01/01,M3,,,,,,,,,,696059,,,,,0.00,1,0.00,,,,,,,
SH1,D2023321BAB11,RELEASE,0,"SIMON, LIAM",R,10/16/00,M4,,,,,,,,,,687216,RELEASE,, $-   ,,0.00,0,0.00,,,,,,,
LVA,D2021244LVA09,40,5,"SIMON, RONNY",B,04/17/00,MR5,," $120,600 ",,-0.60,,,81,,,682927,KEEP,40," $120,600 ",,85.00,5,-0.60,,,,,,,
BGK,D2023157KEC06,40,8,"SIMPSON, CHANDLER",L,11/18/00,O,," $740,000 ",,0.70,,,435,TBA 10,24.60,802415,KEEP,40," $740,000 ",,457.00,8,0.70,,,,,,,
FA,D2015324ALD11,,5,"SIMPSON, CHASE",,02/17/92,M5,,,,,,,,,,656965,,,,,0.00,5,0.00,,,,,,,
FA,D2020337ALC12,,8,"SIMPSON, COLIN",,07/23/96,M4,,,,,,,,,,685388,,,,,0.00,8,0.00,,,,,,,
HAH,D2024519SHC18,RELEASE,0,"SIMPSON, JARED",L,06/28/00,M3,,,,,,,,,,688692,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
MER,D2023270MER09,40,1,"SIMPSON, JOSH",L,08/19/97,O,," $740,000 ",,-0.40,0,32,,,,681006,KEEP,40," $740,000 ",,0.00,1,-0.40,,,,,,,
PEC,D2024277PEC10,,3,"SIMPSON, WILL",R,08/28/01,M3,,,,,,,,TBA 28,3.51,687310,KEEP,, $-   ,,0.00,3,0.00,,,,,,,
NEE,D2023057NEE02,,0,"SIMS, LANDON",R,01/03/01,M4,,,,,,,,,,683085,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
NYG,D2013024VBV01,40,1,"SIMS, LUCAS",R,05/10/94,FA26,," $2,988,420 ",-0.30,-0.50,0,13,,,,608371,KEEP,40," $2,988,420 ",,0.00,1,-0.50,,,,,,,
HAH,D2022470SHC16,,0,"SINACOLA, NICK",R,10/29/99,M5,,,,,,,,,,701161,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
BRM,D2016105BAB04,40,0,"SINGER, BRADY",R,08/04/96,FA29,," $13,119,242 ",2.50,2.90,34,178,,,,663903,KEEP,40," $13,119,242 ",,0.00,0,2.90,,,,,,,
FA,D2010NHF04,,3,"SINGLETON, JONATHAN",L,09/18/91,UFA,," $740,000 ",-0.10,-0.20,,,9,,,572138,,,,,9.00,3,-0.20,,,,,,,
BRB,D2025217BRB08,,0,"SINNARD, LUKE",R/R,10/21/02,M2,,,,,,,,ATN 18,11.33,820827,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
WBR,D2014620NEE22,WAIVE,8,"SIRI, JOSE",R,07/22/95,O3,," $1,440,000 ",1.90,-0.40,,,34,,,642350,KEEP,WAIVE," $1,440,000 ",,36.00,8,-0.40,,,,,,,
HOG,D2022145HOG05,,6,"SIROTA, MICHAEL",,06/16/03,M5,,,,,,,,LAN 26,5.93,701527,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
WBR,D2014037RFS1S,,2,"SISCO, CHANCE",L,02/24/95,A4,," $740,000 ",,,,,,,,642082,KEEP,," $740,000 ",,0.00,2,0.00,,,,,,,
FA,,,1,"SISK, RYAN",L,04/23/97,UFA,," $740,000 ",,0.20,0,19,,,,681895,,,,,0.00,1,0.20,,,,,,,
FA,D2017618GLL21,,6,"SKENDER, ETHAN",R,12/22/96,MR5,,,,,,,,,,663690,,,,,0.00,6,0.00,,,,,,,
LVA,D2024004SAG01,40,0,"SKENES, PAUL",R,05/29/02,O1,," $740,000 ",4.30,6.50,34,197,,,,694973,KEEP,40," $740,000 ",,0.00,0,6.50,,,,,,,
SAG,D2023758CS333,RELEASE,0,"SKIRROW, NOAH",,07/21/98,M4,,,,,,,,,,659418,RELEASE,, $-   ,,0.00,0,0.00,,,,,,,
FA,D2012443ALE14,,0,"SKOGLUND, ERIC",L,10/26/92,UFA,," $740,000 ",,,,,,,,607215,,,,,0.00,0,0.00,,,,,,,
CHH,D2018575JAS20,40,0,"SKUBAL, TARIK",L,11/20/96,A5,," $24,433,254 ",5.90,6.60,33,205,,,,669373,KEEP,40," $24,433,254 ",,0.00,0,6.60,,,,,,,
CHH,D2020394JAS14,40,1,"SLATEN, JUSTIN",R,09/15/97,O1,," $740,000 ",1.50,0.40,0,36,,,,686580,KEEP,40," $740,000 ",,0.00,1,0.40,,,,,,,
BAM,D2015396FM214,40,8,"SLATER, AUSTIN",R,12/13/92,FA27,," $3,766,154 ",-0.10,0.00,,,155,,,596103,KEEP,40," $3,766,154 ",,163.00,8,0.00,,,,,,,
FA,D2017206HOG07,,6,"SLAUGHTER, JAKE",R,10/24/96,M5,,,,,,,,,,670237,,,,,0.00,6,0.00,,,,,,,
FA,D2014229SPI08,,1,"SLEGERS, AARON",R,09/04/92,UFA,," $740,000 ",,,,,,,,642083,,,,,0.00,1,0.00,,,,,,,
MOE,D2025441MOE15,,0,"SLOAN, ETHAN",L/L,08/04/02,M2,,,,,,,,,,826942,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
MUN,D2025022MUN01,,0,"SLOAN, RYAN",R/R,01/29/06,M2,,,,,,,,SEA 09,25.14,815549,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
FA,D2020658FM224,,2,"SLONIGER, RYAN",,03/20/97,M5,,,,,,,,,,675560,,,,,0.00,2,0.00,,,,,,,
WBR,D2019187NYG07,,1,"SMALL, ETHAN",L,02/14/97,MR5,,,,,,,,,,663629,KEEP,, $-   ,,0.00,1,0.00,,,,,,,
SPI,D2022786SPI49,RELEASE,2,"SMELLEY, COLBY",R,10/05/03,M5,,,,,,,,,,702457,RELEASE,, $-   ,,0.00,2,0.00,,,,,,,
TUT,D2023718TUT27,,0,"SMELTZ, JACKSON",L,09/14/98,M4,,,,,,,,,,694461,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
FA,D2017340RCR12,,1,"SMELTZER, DEVIN",L,09/07/95,UFA,," $740,000 ",,,,,,,,656970,,,,,0.00,1,0.00,,,,,,,
OSC,D2024115OSC04,,8,"SMITH, AIDAN",R,07/23/04,M3,,,,,,,,TBA 12,22.26,806223,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
FA,D2020371BRB13,,8,"SMITH, ARMANI",,07/19/98,M5,,,,,,,,,,669702,,,,,0.00,8,0.00,,,,,,,
RFS,D2023492RFS17,,0,"SMITH, AUSTIN",,06/22/99,M4,,,,,,,,,,694518,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
HAH,D2024159SHC06,,0,"SMITH, BRADY",R,01/27/05,M3,,,,,,,,,,806224,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
FA,D2011ALE04,,1,"SMITH, BURCH",R,04/12/90,UFA,," $740,000 ",0.30,,,,,,,572143,,,,,0.00,1,0.00,,,,,,,
MOE,D2024311MOE11,,0,"SMITH, CADE",R,04/09/02,M3,,,,,,,,NYA 15,14.63,694696,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
TUT,"D2018598BAB20
D2024241TUT09",40,1,"SMITH, CADE ",R,05/09/99,O1,," $740,000 ",2.70,2.70,0,77,,,,671922,KEEP,40," $740,000 ",,0.00,1,2.70,,,,,,,
FA,D2014369ALC13,,0,"SMITH, CALEB",L,07/28/91,UFA,," $740,000 ",,,,,,,,592761,,,,,0.00,0,0.00,,,,,,,
BBS,D2025007BRB01,40,8,"SMITH, CAM",R/R,02/22/03,O,," $740,000 ",,1.00,,,463,HOA 01 [43],44.12,701358,KEEP,40," $740,000 ",,486.00,8,1.00,,,,,,,
FA,D2017679BAM24,,1,"SMITH, CHAD",R,06/08/95,UFA,," $740,000 ",,,,,,,,663385,,,,,0.00,1,0.00,,,,,,,
MOE,D2023454CHD16,,4,"SMITH, D'ANDRE",R,05/10/01,M4,,,,,,,,,,694266,KEEP,, $-   ,,0.00,4,0.00,,,,,,,
FA,D2024837BBS39,,4,"SMITH, DAVID",B,02/20/01,M2,,,,,,,,,,808818,,,,,0.00,4,0.00,,,,,,,
FA,D2014009ALC01,,10,"SMITH, DOMINIC",L,06/15/95,UFA,," $740,000 ",0.10,0.40,,,214,,,642086,,,,,225.00,10,0.40,,,,,,,
FA,D2016121RCR05,,1,"SMITH, DREW",R,09/24/93,UFA,," $740,000 ",0.20,,,,,,,622098,,,,,0.00,1,0.00,,,,,,,
FA,D2012041MER1S,,8,"SMITH, DWIGHT",L,10/26/92,UFA,," $740,000 ",,,,,,,,596105,,,,,0.00,8,0.00,,,,,,,
LVA,D2022094OSC04,,0,"SMITH, DYLAN",R,05/28/00,M5,,,,0.00,0,14,,,,681916,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
MUN,D2025473MUN16,,6,"SMITH, GAVIN",R/R,11/27/05,M2,,,,,,,,,,827332,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
HOG,D2025005HOG01,,0,"SMITH, HAGEN",L/L,08/19/03,M2,,,,,,,,CHA 02 [34],45.38,696146,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
FA,D2022347GLL12,,0,"SMITH, JAKE",R,10/04/99,M4,,,,,,,,,,681977,,,,,0.00,0,0.00,,,,,,,
FA,D2020161BRB06,,1,"SMITH, JOSH",,02/05/97,M5,,,,,,,,,,663642,,,,,0.00,1,0.00,,,,,,,
HIB,D2017388ALE13,40,6,"SMITH, JOSH",L,08/07/97,O3,," $812,320 ",2.80,1.80,,,520,,,669701,KEEP,40," $812,320 ",,546.00,6,1.80,,,,,,,
FA,D2019376GLL13,,1,"SMITH, JULIAN",L,06/06/97,MR5,,,,,,,,,,681886,,,,,0.00,1,0.00,,,,,,,
CHH,D2019468NEE16,RELEASE,0,"SMITH, KEVIN",L,05/13/97,MR5,,,,,,,,,,663325,RELEASE,, $-   ,,0.00,0,0.00,,,,,,,
BRB,D2018156BRB06,,6,"SMITH, KEVIN ",R,07/04/96,O3,," $740,000 ",,,,,,,,675656,KEEP,," $740,000 ",,0.00,6,0.00,,,,,,,
FA,D2013176BAM05,,8,"SMITH, MALLEX",L,05/06/93,UFA,," $740,000 ",,,,,,,,605480,,,,,0.00,8,0.00,,,,,,,
FA,D2020104PEC04,,8,"SMITH, MARCUS",,09/11/00,MR5,,,,,,,,,,687526,,,,,0.00,8,0.00,,,,,,,
BBS,D2025440BBS15,,8,"SMITH, MYLES",L/R,07/09/02,M2,,,,,,,,,,701737,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
BRB,D2025157BRB06,,0,"SMITH, PARKER",R/R,03/05/03,M2,,,,,,,,HOA 25,4.89,809789,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
NYG,D2015092BAB03,40,3,"SMITH, PAVIN",L,02/06/96,A4,," $1,000,000 ",0.90,0.70,,,256,,,656976,KEEP,40," $1,000,000 ",,269.00,3,0.70,,,,,,,
FA,D2016440GLL15,,1,"SMITH, RILEY",R,01/15/95,UFA,," $740,000 ",,,,,,,,642092,,,,,0.00,1,0.00,,,,,,,
GLL,D2022108GLL04,,0,"SMITH, RUSSELL",L,09/10/98,M5,,,,,,,,,,669080,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
